StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_12_TEXT,Q5,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_6_TEXT,Q10,Q11,Q12,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_2,Q16,Q17,Q18,Q19,Q20
4/15/2020 10:37,4/15/2020 10:43,100,373,TRUE,4/15/2020 10:43,R_1OjE8HObrMk65EH,anonymous,EN,MS2,Very negatively affected,Very negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very positively affected,Very positively affected,Very positively affected,Very positively affected,Very positively affected,Very positively affected,Very positively affected,Very positively affected,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,$101-$500,Disagree,I prefer the flexibility of learning material at my own time and pace,Biweekly,Strongly Agree,Disagree,Disagree,Disagree,Disagree,,,Agree,Somewhat negatively affected,Somewhat prepared,Stayed at UCSD graduate student housing,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,,,,,"I understand how difficult it is to provide medical education under these circumstances. However, I believe doing 3rd year online is a horrendous idea. We signed up to be doctors, and there is no better time to learn. If I had to do the most important year of my medical education online, I would not feel prepared to be a doctor by the time I start residency. In that case, my medical education would have failed me."
4/15/2020 10:39,4/15/2020 10:47,100,456,TRUE,4/15/2020 10:47,R_ukNsNxv12jsWuqt,anonymous,EN,MS2,Neutral,Somewhat positively affected,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat positively affected,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Online lectures via Pathoma and Boards and Beyond,$0-100,Neutral,I prefer the flexibility of learning material at my own time and pace,Weekly,Strongly Agree,Disagree,Strongly Agree,Disagree,Neutral,,,Disagree,Very positively affected,Somewhat prepared,Stayed in existing off-campus housing in San Diego,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,,,"Tests need to be open book, open resource",Online lectures!,"A lot of MS2s are very concerned that a significant part of our clinical education will take place via virtual learning. If this is the case, I will probably take a gap year because I would not be getting my money's worth. I hope the School of Medicine is supportive of students who wish to delay their medical education for these reasons, even if it poses a logistical problem for them."
4/15/2020 10:36,4/15/2020 10:48,100,702,TRUE,4/15/2020 10:48,R_3p2QMEUshSK4rNV,anonymous,EN,MS1,Somewhat positively affected,Somewhat negatively affected,Very negatively affected,Somewhat negatively affected,Somewhat negatively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Somewhat negatively affected,Neutral,Somewhat negatively affected,Somewhat negatively affected,Very negatively affected,Somewhat negatively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Somewhat negatively affected,N/A: I have not used this resource,N/A: I have not used this resource,Agree,N/A: I have not used this resource,Strongly Agree,Agree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Agree,Strongly Agree,,,$0-100,Agree,I prefer having required modules and due dates,Every few days,Agree,Agree,Agree,Strongly Agree,N/A: I have not received communication via this method,,,Neutral,,,Moved outside San Diego area,Agree,Strongly Agree,Disagree,Neutral,Neutral,Neutral,,"Flexibility, greater efficiency because you don't have to walk to/from lecture halls and classes",Live sessions explaining concepts like anatomy/histology via Zoom screenshare or other such methods,"Summary resources and practice questions are extremely useful. Having slides which summarize all relevant content from the lectures is great. ISMs, Kahoot quizzes, and other practice question content is an important way to ensure we are keeping up with content.",
4/15/2020 10:43,4/15/2020 10:51,100,526,TRUE,4/15/2020 10:51,R_3nOwzwqoJ4sMknr,anonymous,EN,MS1,Very negatively affected,Somewhat positively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Neutral,Somewhat negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Somewhat negatively affected,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,,,$0-100,Strongly Disagree,I prefer the flexibility of learning material at my own time and pace,Monthly,Neutral,Neutral,Agree,Disagree,Strongly Disagree,,There are too many emails- it's hard to keep up.,Agree,,,Stayed at UCSD graduate student housing,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Disagree,,PBL flows nicely and I've been impressed by it. I find it more useful now than I did before.,"The lectures reference things we haven't done because they have been rearranged in order. It's much harder to get help from the OESS, not because of lack of effort but because we can't use a white board etc. It's very hard to do any sort of group studying. It's very hard to find a quiet place to study. It's very hard to learn doctoring skills. POM is way too long now over zoom and less effective. There is no way to practice you skills/ ask questions.",,It feels like you are starting medical school over. We are completely changing the way we learn and study but the material is much harder than the start. (especially large changes for those of us that went to all lectures and all in person review sessions)
4/15/2020 10:47,4/15/2020 10:55,100,486,TRUE,4/15/2020 10:55,R_2dzJX3fRXZenero,anonymous,EN,MS1,Neutral,Somewhat negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Somewhat negatively affected,Somewhat positively affected,Neutral,Neutral,Somewhat negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Somewhat negatively affected,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,N/A: I have not used this resource,Strongly Agree,Strongly Agree,N/A: I have not used this resource,N/A: I have not used this resource,Disagree,Strongly Agree,Strongly Agree,N/A: I have not used this resource,,$0-100,Strongly Agree,I prefer the flexibility of learning material at my own time and pace,Weekly,Agree,Agree,Agree,Disagree,N/A: I have not received communication via this method,N/A: I have not received communication via this method,,Agree,,,Stayed at UCSD graduate student housing,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,I saw a free clinic patient via Zoom with an interpreter. The visit did take longer because we had to ask the patient to repeat themselves several times due to video/audio lag. We were able to take an effective history but not conduct a physical exam. I presented to the attending over the phone and they joined the video call with the patient. At the end of the visit we were able to address the patient’s concerns. So overall I feel seeing the patient over Zoom was effective but inefficient.,Flexibility to structure my own schedule ,"Clinical exposure (aca, preceptorship, pom)",,
4/15/2020 10:55,4/15/2020 11:00,100,318,TRUE,4/15/2020 11:00,R_5hcCNnnXLXyD0M9,anonymous,EN,MS1,Neutral,Somewhat negatively affected,Very negatively affected,Somewhat negatively affected,Neutral,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Neutral,Neutral,Somewhat negatively affected,Very negatively affected,Neutral,Neutral,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Neutral,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Agree,Agree,Agree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,N/A: I have not used this resource,,$0-100,Neutral,I prefer the flexibility of learning material at my own time and pace,Weekly,Agree,Disagree,Agree,Agree,Disagree,,,Disagree,,,Stayed at UCSD graduate student housing,Agree,Agree,Agree,Agree,Disagree,Disagree,,,POM sessions should be shorter and more effective,,"We understand that it's difficult to completely adapt a curriculum to be done online. I don't think any of us are faulting that. However, we also are gracious for your flexibility in these times as well. It's been hard to focus on material, and hard to focus in 4 hours of POM after 4 hours of lecture, all in front of a computer. More laxity would be helpful, both in grading and POM length."
4/15/2020 10:37,4/15/2020 11:01,100,1479,TRUE,4/15/2020 11:01,R_6RtTu7lU2jH887f,anonymous,EN,MS1,Somewhat negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Somewhat negatively affected,Neutral,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,N/A: I have not used this resource,N/A: I have not used this resource,Neutral,Disagree,Strongly Agree,Disagree,N/A: I have not used this resource,N/A: I have not used this resource,Neutral,Strongly Agree,Strongly Agree,,,$0-100,Agree,I prefer having required modules and due dates,Weekly,Agree,Neutral,Agree,Agree,Disagree,,,Strongly Disagree,,,Stayed at UCSD graduate student housing,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Having all the material available to get ahead if needed. ,"There are several gaps simply because the MS1 curriculum was designed to be interactive. 1) POM sessions are too long and not engaging. It is difficult to talk about motivational interviewing or other POM topics when there isn’t physical interaction, but more importantly it is often frustrating because many students aren’t inclined to participate as much which makes POM very difficult to get through. The lack of participation combined with the disengagement is difficult to overcome. 2) I think there should be more practice problems, subscriptions to question banks, or modules to engage students during this time. It is difficult to find motivation to study when there is no reinforcement. Besides the weekly quiz and 1-3 TBLs, students are expected to simply “master” lecture content by basically memorizing information. It would be nice if there were more virtual practice assessments or problems to allow students to feel like they are actually learning. Or if we could incorporate material into modules that may be beneficial. ",,"For me, it has been incredibly challenging to study from Graduate Housing and my parents home. I have tried both, and it seems that no matter where I go there are hurdles to overcome. At grad housing, my neighbors above have children who are persistently loud and while at home my large family are all working and always on calls. Many students feel that it’s difficult to focus, be engaged, and be placed in an environment conducive to learning. As such, a student like myself who used to never struggle with having motivation to get to work is having more difficulties now than ever to simply be a student. "
4/15/2020 10:52,4/15/2020 11:02,100,582,TRUE,4/15/2020 11:02,R_smL7Vgw53HsQVPP,anonymous,EN,MS1,Very positively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Neutral,Very positively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,N/A: I have not used this resource,N/A: I have not used this resource,,Strongly Agree,Strongly Agree,,,$0-100,Agree,I prefer the flexibility of learning material at my own time and pace,Weekly,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,,,Neutral,,,Stayed at UCSD graduate student housing,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,,I have watched the Podcasted lectures exclusively since Foundations. The best part of all-remote learning now is that I don’t have to wait for lectures to be uploaded after they are taught in-person in order to keep pace in the block; all the lectures are uploaded at the beginning of the block.,POM small groups are interminable and a much worse use of time now that they are remote.,Uploading all lectures from the previous year at the beginning of the block,"Some instructors have broken their lectures up into 3 different videos in an effort to make them more palatable; this isn’t necessary. The lecture should be uploaded as one video. There is a pause feature, and Canvas already saves the spot in the video if the student closes out of it. "
4/15/2020 10:17,4/15/2020 11:10,100,3219,TRUE,4/15/2020 11:10,R_2e8S2Yi9YF830dn,anonymous,EN,MS1,Neutral,Very negatively affected,Very negatively affected,Very negatively affected,Neutral,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Neutral,Neutral,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I have not used this resource,N/A: I have not used this resource,Agree,Agree,Agree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,,,$0-100,Agree,I prefer the flexibility of learning material at my own time and pace,Biweekly,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,,,Neutral,,,Stayed in existing off-campus housing in San Diego,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,"I have done a couple tele-health consults with our free clinic patients, volunteered time to make calls to patients to set them up with MCVV and did one pilot interaction with an ED project looking at tele-health for remote learning. I think the latter experience was great because it was the closest to my ACA that I’ve gotten and I really hope we can do more of that. I’m really glad to be able to see patients through free clinic; While we can’t practice physical exam skills, we at least get to interact with our patients. I think these clinical experiences are REALLY helpful in keeping me engaged and in building the connection between the clinical world and our education. Helping patients set up with MCVV has also been a nice opportunity to just talk to patients and feel like I’m able to help contribute at this time and it’s been interesting to see what kind of challenges patients have to get video-enabled ","Flexibility and not having to come to campus every day (although, I would like to come to campus at least a few times a week for real-life interactions, structure, and hands-on learning) ","Clinical experiences, interactive hands-on experiences (e.g., ultrasound, ACA, POM/GOSCE w/physical exam and patient interaction) - which I know we can’t really do virtually. But I just want to make this note because, for me personally, a HUGE part of medical education that keeps me excited and motivated is everything that I learn from working with our attendings and residents. It really helps to integrate our preclinical learning as well. I miss my ACA more than anything. POM feels pretty ineffective through the remote learning tools because a lot of what we need to do requires in-person interaction. Anatomy: I’m glad we got through most of it in person, but it’s non-ideal to learn anatomy (personally) through digital images. If we can start safely re-introduce those experiences sooner than later, that would be AMAZING. ","Honestly, just the review sessions and podcast option for lectures (which we were already doing pre-quarantine). ","Remote learning is great when it’s a choice - podcast the lecture if you learn better that way. But for me personally, it’s been a struggle. I prefer the structure of getting up in the morning and going to lecture, attending small groups and interacting with people in real life. Could our schedule be optimized to maybe stack those interactions a few times a week and not necessarily go in every day? Sure. But there’s still a level of engagement in-person that I just don’t feel through this remote medium. That said, I want to recognize that we’re living in a very unique time that’s making it even harder to stay engaged. We’re all adjusting to this bizarre new normal of businesses being closed, not being able to leave the house, people avoiding eye contact in grocery stores, not being able to meet up with friends and family, and of course COVID that seems to have no end. It is very hard to stay focused when you are worried about loved ones or thinking about what you can do help in this situation. The desire to help with COVID but to realize we’re probably more helpful by staying out of the way is a little disempowering. At the same time, I also recognize that studying and doing well in school may just be the most important thing we do so we can help when our time comes. Nonetheless, it’s hard not to feel like we’re just sitting at home while our community (i.e., the medical community) is out on the frontlines. Also, like I said in another comment, the experience and wealth of knowledge we get from interacting with patients and interspersing clinical experiences throughout our week is irreplaceable. It’s humbling and motivating and keeps that fire burning.   I don’t know if I answered your question, but I guess the TLDR is that online learning (many lectures notwithstanding) can be supplemental but not a great replacement for medical school, which I think is most effective when it is as hands-on and interactive as possible. COVID is compounding this by making it literally impossible to do anything we’d normally do, so it’s going to take time to adjust. I look forward to the day we can get back to some semblance of normalcy. "
4/15/2020 11:00,4/15/2020 11:12,100,714,TRUE,4/15/2020 11:12,R_2zFQ3LOrzE2Kyqw,anonymous,EN,MS1,Somewhat negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Somewhat negatively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Very negatively affected,N/A: I have not used this resource,Agree,Strongly Agree,N/A: I have not used this resource,Agree,Agree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,,,$101-$500,Neutral,I prefer the flexibility of learning material at my own time and pace,Weekly,Agree,Disagree,N/A: I have not received communication via this method,N/A: I have not received communication via this method,N/A: I have not received communication via this method,,,Neutral,,,Stayed in existing off-campus housing in San Diego,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,,,,,"i feel very disconnected, but most of all I have a really hard time concentrating on all the material. I am genuinely concerned that my education this quarter is substandard (not anyone’s fault!) and I’m upset about it. I also wish I knew what was going on—I get so many emails from the school and UC San Diego Health that I don’t know what to open for actually information about my own curriculum, etc.  "
4/15/2020 11:02,4/15/2020 11:24,100,1322,TRUE,4/15/2020 11:24,R_O1f4XlVqMjjkYhP,anonymous,EN,MS1,Very positively affected,Neutral,Very negatively affected,Somewhat negatively affected,Very positively affected,Very negatively affected,Very negatively affected,Very negatively affected,Neutral,Neutral,Very negatively affected,Neutral,Neutral,Very negatively affected,Very negatively affected,Very negatively affected,N/A: I have not used this resource,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,,,$0-100,Neutral,I prefer having required modules and due dates,Daily,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,,Neutral,,,Moved outside San Diego area,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,,"No mandatory histology (in my opinion, histology can be studied by looking at pictures)",Clinical exposure,,The biggest issue is lack of clinical experience. I was looking forward to shadowing a lot.
4/15/2020 11:23,4/15/2020 11:31,100,457,TRUE,4/15/2020 11:31,R_31z3Pe4GbdY9TvM,anonymous,EN,MS1,Neutral,Neutral,Somewhat negatively affected,Very negatively affected,Somewhat negatively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Very negatively affected,Somewhat positively affected,Neutral,Very negatively affected,Very negatively affected,Somewhat negatively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Neutral,N/A: I have not used this resource,N/A: I have not used this resource,Agree,N/A: I have not used this resource,Agree,Agree,N/A: I have not used this resource,N/A: I have not used this resource,,Strongly Agree,Strongly Agree,,,$0-100,Agree,I prefer the flexibility of learning material at my own time and pace,Weekly,Disagree,Agree,Agree,Strongly Disagree,N/A: I have not received communication via this method,,,Agree,,,Stayed in existing off-campus housing in San Diego,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,,The flexibility. I appreciate having all the block's lectures at the beginning so I can watch them at my own pace and get ahead if I choose.,"Small groups are brutal. POM is especially hard. Spending 4 hours at the computer trying to remain engaged is really, really challenging. I have no ideas how to improve this.",I appreciate having last year's lectures uploaded at the beginning of the block. I would rather watch them at my own pace and be notified if lecture content has meaningfully changed in order to determine when to watch live lectures,"My experience so far is that it works well enough for lectures because it's more or less the same experience of passively receiving information. However, anything that requires active engagement (POM, PBL, anatomy, histology) have all suffered to varying degrees. An online experience simply isn't a substitute and it feels like my educational experience is being robbed in those areas. I wish I had suggestions on how to improve it but I think that's just the nature of remote learning."
4/15/2020 10:11,4/15/2020 11:32,100,4860,TRUE,4/15/2020 11:32,R_3sjCMfMRQslfjki,anonymous,EN,MS2,Somewhat negatively affected,Very negatively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Very negatively affected,Somewhat negatively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Strongly Agree,Neutral,Neutral,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,,,$501-1000,Disagree,No preference,Weekly,Disagree,Strongly Disagree,Neutral,Agree,Disagree,,,Disagree,Very negatively affected,Very unprepared,Stayed in existing off-campus housing in San Diego,Agree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,,,,,
4/15/2020 11:32,4/15/2020 11:38,100,348,TRUE,4/15/2020 11:38,R_123YVep8sJnqhx6,anonymous,EN,MS1,Neutral,Somewhat negatively affected,Neutral,N/A: I did not take this course via remote learning,Somewhat positively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Neutral,Neutral,Neutral,Somewhat negatively affected,N/A: I did not take this course via remote learning,Somewhat positively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Neutral,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,N/A: I have not used this resource,Agree,Agree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,,,$0-100,Strongly Agree,I prefer the flexibility of learning material at my own time and pace,Biweekly,Agree,Neutral,Neutral,Disagree,N/A: I have not received communication via this method,,,Agree,,,Stayed in existing off-campus housing in San Diego,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,,,,,
4/15/2020 11:39,4/15/2020 11:44,100,280,TRUE,4/15/2020 11:44,R_1GIGoLXwMfCgnKi,anonymous,EN,MS2,N/A: I did not take this course via remote learning,Somewhat positively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Somewhat positively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,,,$101-$500,Agree,I prefer the flexibility of learning material at my own time and pace,Biweekly,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,N/A: I have not received communication via this method,,Agree,Somewhat negatively affected,Very unprepared,Stayed at UCSD graduate student housing,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,,,,,
4/15/2020 11:46,4/15/2020 11:57,100,621,TRUE,4/15/2020 11:57,R_1pQN70u64bQtN9b,anonymous,EN,MS1,Somewhat negatively affected,Neutral,Very negatively affected,Very negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Somewhat negatively affected,Very negatively affected,Somewhat positively affected,Neutral,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,N/A: I have not used this resource,Agree,Disagree,Neutral,Strongly Agree,Neutral,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,,,$0-100,Neutral,I prefer the flexibility of learning material at my own time and pace,Every few days,Neutral,Disagree,Strongly Disagree,Neutral,N/A: I have not received communication via this method,,,Neutral,,,Stayed at UCSD graduate student housing,Agree,Agree,Agree,Agree,Disagree,Neutral,,I appreciate the fact that the material is all available immediately and that we can work at our own pace.,"I think that it's hard to mimic physical exam learning environments and I dislike how we are watching last year's lectures to learn because it doesn't feel in any way personalized to the situation. There are often references to labs and things that we should have known but we don't and it's not our fault and that makes it a little odd. There is also a tangible lack of group learning, which may be my fault, but I feel that TBLs/small group sessions have not been happening.","I like having the materials mostly available in advance, and I think that that level of organization is useful for future courses.","I think that course directors/those in medical education could look into more ways of making the learning more interactive. For example, TBLs with ""breakout rooms"" in Zoom, or some sort of structured small group learning that brings some of us classmates together. It's easy to try to learn the material solo at this point, and in the past I have benefitted from group learning and I do not feel that happening currently."
4/15/2020 11:59,4/15/2020 12:04,100,324,TRUE,4/15/2020 12:04,R_WwYMb0FA2wDZFIt,anonymous,EN,MS1,Neutral,Somewhat negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Somewhat negatively affected,Neutral,Somewhat negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Neutral,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,N/A: I have not used this resource,Neutral,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Disagree,Desktop Computer,$0-100,Neutral,I prefer the flexibility of learning material at my own time and pace,Weekly,Strongly Disagree,Agree,N/A: I have not received communication via this method,Strongly Disagree,Neutral,,,Neutral,,,Stayed in existing off-campus housing in San Diego,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,"Did telehealth visits for free clinic, feel limited without physical exam component",Flexibility and less pressure,"Anatomy, Histology and Ultrasound, would help to have mandatory class sessions with live facilitators and a structured learning environment",Zoom based office hours and live sessions for greater flexibility,
4/15/2020 12:15,4/15/2020 12:18,100,213,TRUE,4/15/2020 12:18,R_22MsVxXwYsgaVNI,anonymous,EN,MS1,Neutral,Somewhat negatively affected,Very negatively affected,Somewhat negatively affected,Neutral,N/A: I did not take this course via remote learning,Very negatively affected,Neutral,Neutral,Neutral,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,N/A: I did not take this course via remote learning,Very negatively affected,Neutral,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,N/A: I have not used this resource,Strongly Agree,Strongly Agree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,N/A: I have not used this resource,,$0-100,Agree,I prefer having required modules and due dates,Weekly,Agree,Agree,Neutral,Neutral,Disagree,,,Agree,,,Stayed at UCSD graduate student housing,Agree,Agree,Neutral,Neutral,Agree,Agree,more free clinic and EM telemed opportunities,,,,
4/15/2020 12:11,4/15/2020 12:21,100,633,TRUE,4/15/2020 12:21,R_DTQf7YMmm2ZRgEp,anonymous,EN,MS1,Somewhat negatively affected,Neutral,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Neutral,Somewhat negatively affected,Neutral,Somewhat negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Neutral,Neutral,N/A: I have not used this resource,Strongly Agree,Agree,Neutral,Neutral,N/A: I have not used this resource,N/A: I have not used this resource,Neutral,Strongly Agree,Strongly Agree,N/A: I have not used this resource,,$0-100,Neutral,I prefer having required modules and due dates,Weekly,Agree,Neutral,Neutral,Agree,N/A: I have not received communication via this method,N/A: I have not received communication via this method,,Agree,,,Stayed in existing off-campus housing in San Diego,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,,Not having to pay for/find parking on campus.,All application of practical skills. Use of microscopes for histology. Lack of any hand on learning for anatomy.,"POM, Anatomy, Histology ","Zoom has been a challenge living in a house with 4 room mates and a dog, our internet is not sufficient for all of us to work at home and when facilitators require us to be un-muted on the platform it is very distracting. As someone who learns best through hands on methods, I’m struggling with anatomy and POM and really missing the opportunity to practice patient interviewing/physical exams during ACA. I do not feel prepared for an OSCE at the end of the year."
4/15/2020 12:19,4/15/2020 12:30,100,673,TRUE,4/15/2020 12:30,R_2eXoHqqzc2GTH0F,anonymous,EN,MS1,Neutral,Neutral,Somewhat negatively affected,Neutral,Somewhat negatively affected,Somewhat negatively affected,Very negatively affected,Somewhat positively affected,Somewhat negatively affected,Neutral,Neutral,Neutral,Somewhat negatively affected,Very negatively affected,Very negatively affected,Somewhat positively affected,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Study guide diagrams from OESS,$0-100,Strongly Agree,I prefer the flexibility of learning material at my own time and pace,Every few days,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,,,Agree,,,Stayed in existing off-campus housing in San Diego,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,N/A,Using Zoom to move the class from full class discussions to mini break out group discussions. I also really love Steve Schneid's Kahoot practice question sessions over Zoom.,Lack of practice with clinical skills.,Steve Schneid's Kahoot practice question sessions. These could be done in person or online equally effectively.,The experience has been smooth and I feel I am still getting immense benefit from my education. I appreciate all of the time they have put into the course with extra office hours.
